conteudo,enviado_por,canal,prioridade_atendimento,status_atendimento,tipo_pessoa,gravidade,categoria
Chegamos no horário marcado e a consulta havia sido cancelada,BENEFICIARIO,whatsapp,2,SOLICITADO,CRIANCA_ADOLESCENTE,2,reclamacao
Meu filho ficou com dor depois do procedimento e ninguém orientou,BENEFICIARIO,presencial,3,SOLICITADO,OUTRO,3,reclamacao
Não consegui falar com nenhum responsável sobre meu caso,BENEFICIARIO,telefone,3,SOLICITADO,OUTRO,3,reclamacao
O atendimento foi muito demorado para um caso simples,BENEFICIARIO,email,4,ABERTO,MULHER_APOLONIA,3,reclamacao
Me mandaram de um lado pro outro sem resolver nada,BENEFICIARIO,email,2,SOLICITADO,MULHER_APOLONIA,2,reclamacao
"Fui atendida por alguém sem preparo, me senti insegura",BENEFICIARIO,email,2,SOLICITADO,MULHER_APOLONIA,2,reclamacao
O voluntário não sabia responder minhas perguntas básicas,BENEFICIARIO,telefone,3,ABERTO,CRIANCA_ADOLESCENTE,1,reclamacao
Enviou mensagem pelo whatsapp e ficou sem resposta por dias,BENEFICIARIO,presencial,2,SOLICITADO,CRIANCA_ADOLESCENTE,3,reclamacao
Minha consulta foi remarcada três vezes seguidas,BENEFICIARIO,presencial,3,ABERTO,MULHER_APOLONIA,3,reclamacao
Não fui informada sobre os direitos que tenho nesse atendimento,BENEFICIARIO,telefone,4,SOLICITADO,CRIANCA_ADOLESCENTE,2,reclamacao
nao me atenderam de novo,BENEFICIARIO,presencial,3,SOLICITADO,OUTRO,1,reclamacao
Pessimo pessimo pessimo,BENEFICIARIO,presencial,4,ABERTO,MULHER_APOLONIA,3,reclamacao
ninguem responde o zap,BENEFICIARIO,email,2,SOLICITADO,CRIANCA_ADOLESCENTE,2,reclamacao
odeio esse atendimento,BENEFICIARIO,telefone,4,ABERTO,CRIANCA_ADOLESCENTE,1,reclamacao
Nao consigo agendamento,BENEFICIARIO,email,3,ABERTO,OUTRO,2,reclamacao
esperando ha 3 horas aqui,BENEFICIARIO,presencial,3,SOLICITADO,CRIANCA_ADOLESCENTE,1,reclamacao
ninguem apareceu,BENEFICIARIO,whatsapp,2,SOLICITADO,CRIANCA_ADOLESCENTE,3,reclamacao
Muito ruim tudo,BENEFICIARIO,presencial,4,ABERTO,MULHER_APOLONIA,1,reclamacao
nao gostei nada,BENEFICIARIO,telefone,4,SOLICITADO,MULHER_APOLONIA,3,reclamacao
sao horriveis,BENEFICIARIO,whatsapp,3,ABERTO,CRIANCA_ADOLESCENTE,2,reclamacao
Horrivel o atendimento,BENEFICIARIO,presencial,2,ABERTO,CRIANCA_ADOLESCENTE,2,reclamacao
fui embora sem ser atendida,BENEFICIARIO,email,3,SOLICITADO,CRIANCA_ADOLESCENTE,2,reclamacao
nao resolveram nada,BENEFICIARIO,email,2,ABERTO,CRIANCA_ADOLESCENTE,2,reclamacao
me deixaram esperando e fui embora,BENEFICIARIO,email,2,ABERTO,MULHER_APOLONIA,2,reclamacao
isso é uma vergonha,BENEFICIARIO,email,2,SOLICITADO,MULHER_APOLONIA,3,reclamacao
nao voltarei mais,BENEFICIARIO,email,3,ABERTO,MULHER_APOLONIA,1,reclamacao
atendimento pessimo como sempre,BENEFICIARIO,presencial,2,ABERTO,OUTRO,2,reclamacao
Nao recebi resposta nenhuma,BENEFICIARIO,whatsapp,4,SOLICITADO,MULHER_APOLONIA,3,reclamacao
nao funciona o site de vcs,BENEFICIARIO,presencial,2,ABERTO,CRIANCA_ADOLESCENTE,3,reclamacao
que atendente grosseiro meu deus,BENEFICIARIO,telefone,2,SOLICITADO,OUTRO,1,reclamacao
tive que ir embora,BENEFICIARIO,whatsapp,3,ABERTO,CRIANCA_ADOLESCENTE,1,reclamacao
Fui ignorada la,BENEFICIARIO,presencial,4,SOLICITADO,MULHER_APOLONIA,1,reclamacao
Nunca vi atendimento tao ruim,BENEFICIARIO,telefone,3,ABERTO,OUTRO,1,reclamacao
Minha filah ficou esperando 2 horas e nada,BENEFICIARIO,email,2,SOLICITADO,MULHER_APOLONIA,2,reclamacao
o dentista nao veio,BENEFICIARIO,email,3,ABERTO,CRIANCA_ADOLESCENTE,3,reclamacao
cancelaram sem avisar de novo,BENEFICIARIO,presencial,3,ABERTO,MULHER_APOLONIA,1,reclamacao
me passaram informacao errada,BENEFICIARIO,telefone,2,SOLICITADO,CRIANCA_ADOLESCENTE,1,reclamacao
"nao consigo falar com ninguem, fico no silencio",BENEFICIARIO,whatsapp,2,SOLICITADO,MULHER_APOLONIA,1,reclamacao
atendimento horrivel nao recomendo,BENEFICIARIO,whatsapp,4,ABERTO,OUTRO,2,reclamacao
terceira vez q nao me atendem,BENEFICIARIO,whatsapp,4,SOLICITADO,OUTRO,2,reclamacao
vixi que demora,BENEFICIARIO,presencial,2,SOLICITADO,CRIANCA_ADOLESCENTE,3,reclamacao
pior atendimento da vida,BENEFICIARIO,whatsapp,4,ABERTO,OUTRO,1,reclamacao
me senti muito mal la,BENEFICIARIO,email,2,ABERTO,MULHER_APOLONIA,1,reclamacao
nao me ligaram como prometeram,BENEFICIARIO,email,2,ABERTO,OUTRO,1,reclamacao
Ja mandei 5 mensagem e nada,BENEFICIARIO,presencial,2,ABERTO,OUTRO,1,reclamacao
atendimento sem qualidade nenhuma,BENEFICIARIO,telefone,3,ABERTO,OUTRO,2,reclamacao
Agendei e nao confirmaram,BENEFICIARIO,telefone,2,ABERTO,OUTRO,1,reclamacao
fui mal atendida la,BENEFICIARIO,presencial,4,ABERTO,CRIANCA_ADOLESCENTE,3,reclamacao
n consigo agendar pelo site,BENEFICIARIO,presencial,2,ABERTO,CRIANCA_ADOLESCENTE,1,reclamacao
pessima organizacao,BENEFICIARIO,email,3,ABERTO,MULHER_APOLONIA,3,reclamacao
Que demora absurda,BENEFICIARIO,email,2,ABERTO,OUTRO,1,reclamacao
meu filho ta sofrendo esperando,BENEFICIARIO,telefone,4,SOLICITADO,OUTRO,1,reclamacao
Reclamei e nao fizeram nada,BENEFICIARIO,email,3,SOLICITADO,CRIANCA_ADOLESCENTE,1,reclamacao
Perderam meu cadastro,BENEFICIARIO,email,4,SOLICITADO,CRIANCA_ADOLESCENTE,2,reclamacao
fui encaminhada errado de novo,BENEFICIARIO,whatsapp,3,ABERTO,MULHER_APOLONIA,2,reclamacao
dentista atrasou 2h sem avisar,BENEFICIARIO,whatsapp,2,ABERTO,MULHER_APOLONIA,3,reclamacao
Sao muito desorganizados,BENEFICIARIO,presencial,2,ABERTO,MULHER_APOLONIA,1,reclamacao
nao me deram nem agua enquanto esperava,BENEFICIARIO,telefone,4,ABERTO,CRIANCA_ADOLESCENTE,2,reclamacao
foi horrivel essa visita,BENEFICIARIO,presencial,4,ABERTO,CRIANCA_ADOLESCENTE,2,reclamacao
Me trataram como se eu fosse burra,BENEFICIARIO,telefone,4,SOLICITADO,MULHER_APOLONIA,3,reclamacao
Nao consigo contato com vcs,BENEFICIARIO,telefone,3,ABERTO,CRIANCA_ADOLESCENTE,1,reclamacao
Cada vez pior,BENEFICIARIO,email,3,SOLICITADO,CRIANCA_ADOLESCENTE,3,reclamacao
nao recomendo pra ninguem,BENEFICIARIO,whatsapp,4,ABERTO,OUTRO,1,reclamacao
ja nao aguento mais esse atendimento,BENEFICIARIO,presencial,3,ABERTO,OUTRO,1,reclamacao
O dentista foi rude com minha crianca,BENEFICIARIO,whatsapp,2,SOLICITADO,CRIANCA_ADOLESCENTE,2,reclamacao
me ligaram na hora errada,BENEFICIARIO,email,2,SOLICITADO,CRIANCA_ADOLESCENTE,1,reclamacao
nao consigo remarcar,BENEFICIARIO,telefone,2,SOLICITADO,MULHER_APOLONIA,1,reclamacao
Sempre tem problema,BENEFICIARIO,telefone,2,SOLICITADO,OUTRO,3,reclamacao
deixaram minha filha esperando so,BENEFICIARIO,presencial,2,SOLICITADO,OUTRO,1,reclamacao
ninguem sabia de nada la,BENEFICIARIO,whatsapp,3,ABERTO,OUTRO,1,reclamacao
atendimento precario demais,BENEFICIARIO,whatsapp,3,SOLICITADO,OUTRO,3,reclamacao
pedi ajuda e ningueam ajudou,BENEFICIARIO,whatsapp,4,SOLICITADO,MULHER_APOLONIA,2,reclamacao
Fui tratada com descaso,BENEFICIARIO,presencial,2,SOLICITADO,MULHER_APOLONIA,2,reclamacao
tentei ligar 20 vezes e nao atenderam,BENEFICIARIO,presencial,3,SOLICITADO,MULHER_APOLONIA,1,reclamacao
Me colocaram no lugar errado,BENEFICIARIO,whatsapp,4,SOLICITADO,OUTRO,1,reclamacao
nao tenho palavras pra descrever como foi ruim,BENEFICIARIO,whatsapp,2,ABERTO,CRIANCA_ADOLESCENTE,1,reclamacao
me fizeram voltar de graça,BENEFICIARIO,whatsapp,3,ABERTO,CRIANCA_ADOLESCENTE,2,reclamacao
passei vergonha la na frente de todos,BENEFICIARIO,email,4,SOLICITADO,CRIANCA_ADOLESCENTE,3,reclamacao
me trataram feio,BENEFICIARIO,whatsapp,3,SOLICITADO,MULHER_APOLONIA,2,reclamacao
Muito decepcionada,BENEFICIARIO,telefone,2,ABERTO,OUTRO,1,reclamacao
nao to satisfeita com esse servico nao,BENEFICIARIO,email,2,SOLICITADO,OUTRO,1,reclamacao
q absurdo esse atendimento,BENEFICIARIO,telefone,2,SOLICITADO,OUTRO,1,reclamacao
me atenderam muito mal la,BENEFICIARIO,email,4,ABERTO,CRIANCA_ADOLESCENTE,1,reclamacao
nao resolveram o meu problema,BENEFICIARIO,whatsapp,3,ABERTO,OUTRO,3,reclamacao
nao tem organizacao nenhuma,BENEFICIARIO,whatsapp,2,SOLICITADO,OUTRO,2,reclamacao
me fizeram esperar muito e nada,BENEFICIARIO,presencial,2,ABERTO,OUTRO,1,reclamacao
o dentitsa nao apareceu de novo,BENEFICIARIO,email,4,ABERTO,OUTRO,1,reclamacao
q falta de respeito comigo,BENEFICIARIO,whatsapp,2,SOLICITADO,MULHER_APOLONIA,3,reclamacao
nao gostei mesmo,BENEFICIARIO,whatsapp,2,SOLICITADO,CRIANCA_ADOLESCENTE,2,reclamacao
eles me trataram pessimo,BENEFICIARIO,whatsapp,4,ABERTO,CRIANCA_ADOLESCENTE,2,reclamacao
meu filho ficou sem atendimento de novo,BENEFICIARIO,whatsapp,2,SOLICITADO,MULHER_APOLONIA,3,reclamacao
uma hora de espera e nada,BENEFICIARIO,presencial,4,SOLICITADO,MULHER_APOLONIA,2,reclamacao
nao tem como entrar em contato,BENEFICIARIO,email,3,ABERTO,OUTRO,2,reclamacao
cancelaram tudo de ultima hora,BENEFICIARIO,presencial,2,SOLICITADO,CRIANCA_ADOLESCENTE,2,reclamacao
meu caso ta parado ha semanas,BENEFICIARIO,email,4,ABERTO,CRIANCA_ADOLESCENTE,3,reclamacao
nao me ajudaram em nada,BENEFICIARIO,telefone,4,ABERTO,CRIANCA_ADOLESCENTE,1,reclamacao
voltei com a mesma duvida sem resposta,BENEFICIARIO,email,3,ABERTO,OUTRO,3,reclamacao
atendimento demorou demais pra caso simples,BENEFICIARIO,email,3,SOLICITADO,MULHER_APOLONIA,2,reclamacao
me deixaram sem informacao nenhuma,BENEFICIARIO,email,3,ABERTO,OUTRO,3,reclamacao
nao confio mais nesse servico,BENEFICIARIO,telefone,3,SOLICITADO,CRIANCA_ADOLESCENTE,2,reclamacao
a voluntaria foi grossa comigo,BENEFICIARIO,whatsapp,4,SOLICITADO,MULHER_APOLONIA,3,reclamacao
nao recebo retorno de forma alguma,BENEFICIARIO,email,4,ABERTO,CRIANCA_ADOLESCENTE,1,reclamacao
me repetiram pedido de docs que já entreguei,BENEFICIARIO,presencial,3,SOLICITADO,CRIANCA_ADOLESCENTE,2,reclamacao
passaram meu horario pra outro sem avisar,BENEFICIARIO,whatsapp,2,SOLICITADO,MULHER_APOLONIA,1,reclamacao
nao consigo agendar de jeito nenhum,BENEFICIARIO,email,2,SOLICITADO,OUTRO,3,reclamacao
Fui embora sem resolver mais uma vez,BENEFICIARIO,presencial,4,ABERTO,OUTRO,1,reclamacao
que falta de cuidado com a gente,BENEFICIARIO,telefone,4,SOLICITADO,OUTRO,3,reclamacao
Ninguem sabia o que estava fazendo,BENEFICIARIO,email,2,ABERTO,OUTRO,3,reclamacao
minha consulta sumiu do sistema,BENEFICIARIO,whatsapp,3,ABERTO,MULHER_APOLONIA,3,reclamacao
eles estao me ignorando ha dias,BENEFICIARIO,telefone,2,ABERTO,MULHER_APOLONIA,2,reclamacao
Que atendimento desorganizado meu Deus,BENEFICIARIO,whatsapp,3,ABERTO,MULHER_APOLONIA,1,reclamacao
a sala de espera estava suja e feia,BENEFICIARIO,whatsapp,2,SOLICITADO,MULHER_APOLONIA,2,reclamacao
ninguem me deu satisfacao alguma,BENEFICIARIO,email,2,SOLICITADO,MULHER_APOLONIA,1,reclamacao
nao tem cuidado com as criancas aqui,BENEFICIARIO,telefone,2,SOLICITADO,CRIANCA_ADOLESCENTE,3,reclamacao
nunca vi atendimento tao confuso,BENEFICIARIO,whatsapp,3,ABERTO,MULHER_APOLONIA,3,reclamacao
me enganaram sobre o horario,BENEFICIARIO,telefone,2,ABERTO,MULHER_APOLONIA,1,reclamacao
a minha ficha sumiu la,BENEFICIARIO,presencial,2,ABERTO,CRIANCA_ADOLESCENTE,3,reclamacao
fui mal recebida na entrada,BENEFICIARIO,telefone,4,SOLICITADO,MULHER_APOLONIA,2,reclamacao
passaram errado as instrucoes pra mim,BENEFICIARIO,email,4,SOLICITADO,MULHER_APOLONIA,1,reclamacao
me mandaram embora sem atender,BENEFICIARIO,email,3,ABERTO,OUTRO,3,reclamacao
o voluntario falou errado sobre meu caso,BENEFICIARIO,telefone,4,ABERTO,MULHER_APOLONIA,3,reclamacao
ficam mudando as regras toda hora,BENEFICIARIO,telefone,2,SOLICITADO,MULHER_APOLONIA,2,reclamacao
nao consigo cancelar pelo site,BENEFICIARIO,telefone,4,ABERTO,CRIANCA_ADOLESCENTE,3,reclamacao
me deixaram sem saber o que fazer,BENEFICIARIO,whatsapp,3,ABERTO,CRIANCA_ADOLESCENTE,1,reclamacao
perdi duas horas la pra nada,BENEFICIARIO,telefone,3,SOLICITADO,MULHER_APOLONIA,1,reclamacao
atendemeto ruim e descuidado,BENEFICIARIO,whatsapp,2,SOLICITADO,CRIANCA_ADOLESCENTE,2,reclamacao
nao fui tratada com respeito,BENEFICIARIO,telefone,2,ABERTO,MULHER_APOLONIA,3,reclamacao
o local estava fechado quando cheguei,BENEFICIARIO,presencial,4,SOLICITADO,MULHER_APOLONIA,3,reclamacao
tive que adivinhar o que fazer sozinha,BENEFICIARIO,presencial,2,SOLICITADO,OUTRO,2,reclamacao
nao me informaram nada,BENEFICIARIO,whatsapp,2,SOLICITADO,MULHER_APOLONIA,2,reclamacao
nao voltarei nessa unidade,BENEFICIARIO,telefone,4,ABERTO,MULHER_APOLONIA,1,reclamacao
saí la pior do que entrei,BENEFICIARIO,whatsapp,2,ABERTO,MULHER_APOLONIA,1,reclamacao
minha filha ficou assustada com a forma que falaram,BENEFICIARIO,email,3,ABERTO,MULHER_APOLONIA,3,reclamacao
o sistema nao aceitou meu cadastro,BENEFICIARIO,email,3,SOLICITADO,OUTRO,3,reclamacao
a comunicacao de vcs e muito ruim,BENEFICIARIO,whatsapp,4,ABERTO,OUTRO,3,reclamacao
ninguem me orientou antes do procedimento,BENEFICIARIO,presencial,2,SOLICITADO,OUTRO,2,reclamacao
colocaram meu filho na fila errada,BENEFICIARIO,email,4,SOLICITADO,OUTRO,2,reclamacao
perdi o dia de trabalho e nao fui atendida,BENEFICIARIO,email,2,SOLICITADO,MULHER_APOLONIA,3,reclamacao
me deixaram com duvidas sobre o tratamento,BENEFICIARIO,email,2,SOLICITADO,OUTRO,3,reclamacao
o atendente foi impatiente e grosseiro,BENEFICIARIO,presencial,3,ABERTO,CRIANCA_ADOLESCENTE,1,reclamacao
nao resolveram o problema raiz,BENEFICIARIO,email,3,SOLICITADO,OUTRO,1,reclamacao
